Mouse_ID,ASP,SYP,MM,TM,,total IgG(ng/ml),IgG1(ng/ml),IgG2a(ng/ml),total IgE(ng/ml),MCPT-1(pg/ml),IL-4 (pg/ml),IL-5 (pg/ml),IL-10 (pg/ml),IL-13 (pg/ml),IFN-g (pg/ml),% eosinophils spleen,% CD8+ spleen,% CD4+ spleen,% Foxp3+ in CD4+ (Treg) spleen,% T-bet+ in CD4+Foxp3- (Th1) spleen,% Th1 poliferation spleen,% GATA-3+ in CD4+Foxp3- (Th2) spleen,% IL-13+ in CD4+ spleen,% IFN-g+ in CD4+ spleen,% IL-10+ in CD4+ spleen,% IL-10+ in non-Tcells spleen,%IFN-g+ in IL-10+ spleen,%IFN-g+IL-10+ in CD4+ spleen,%IFN-g-IL-10+ in CD4+ spleen,%Ki-67 in Foxp3+ spleen,%Ki-67 in T-bet+ spleen,%Ki-67 in GATA-3+ spleen,CD4+ proliferation (=Ki67+) spleen,CD8+ prol. (=Ki67+) spleen,CD4-CD8- proliferation (=Ki67+) spleen,% CD8+ mLN,% CD4+ mLN,% Foxp3+ in CD4+ (Treg) mLN,% T-bet+ in CD4+Foxp3- (Th1) mLN,% GATA-3+ in CD4+Foxp3- (Th2) mLN,% IL-13+ in CD4+ mLN,% IFN-g+ in CD4+ mLN,% IL-10+ in CD4+ mLN,%IFN-g+ in IL-10+ mLN,%IFN-g+IL-10+ in CD4+ mLN,%IFN-g-IL-10+ in CD4+ mLN,%Ki-67 in Foxp3+ mLN,%Ki-67 in T-bet+ mLN,%Ki-67 in GATA-3+ mLN,CD4+ prol histo mLN,CD8+ prol histo mLN,CD4-CD8- prol histo mLN
AA_0691,0,0,0,1,,770300,998080,140980,7072,0,,,,,,1.2,12.59,25.53,6.765,6.9,16.4,1.481,0.99,4.86,1.63,0.7,25.76687117,0.42,1.21,17.3,22.2,57.3,6.9,4.1,12.1,16.67,36.55,4.61,3.41,2.14,,,,,,,22.1,46.6,33.9,5.8,3.6,10
AA_0692,0,0,0,0,,,,,,,,,,,,1.2,12.69,16.21,10.784,4.648,39,6.17,,,,,,,,34.9,48.9,42.2,14,9.3,18.4,27.07,36.52,4.14,1.42,3.34,,,,,,,20.4,51.4,33.3,6.5,6.8,7
AA_0693,0,4,0,0,,,,,,,,,,,,5.1,11.83,19.4,10.671,17.314,38.9,3.76,6.3,10.37,2.85,1,54.73684211,1.56,1.29,32,44.3,54.1,20.5,17.1,37.3,22.63,36.6,7.4,5.92,3.21,,,,,,,31.4,35.8,34,12,12.2,8.7
AA_0694,0,2,0,0,,133000,2012505,0,12177.5,0,,,,,,1.8,6.86,8.42,9.762,5.338,63.5,6.933,,,,,,,,39.6,74.3,51.3,19.9,16.9,21.9,11.55,23.62,6.91,5.06,5.01,1.1,1.05,0.15,20,0.03,0.12,31.6,57.2,37,12.3,15.4,8.6
AA_0695,0,0,0,0,,2063500,37463725,372330,25814,72840.475,,,,,,1.6,9.16,19.4,7.687,11.445,20.9,4.513,2.95,7.69,1.55,5.5,43.87096774,0.68,0.87,16.5,25.1,34.8,10.4,9.3,19.2,11.65,20.6,6.16,3.4,5.61,,,,,,,32.5,45.5,40,12.7,16.1,9.8
AA_0696,0,0,0,0,,,,,,,,,,,,1,4.74,5.51,15.137,7.649,67.5,4.682,3.64,4.42,1.32,1.8,25,0.33,0.99,38.3,74.9,55.9,24.3,18.1,27.4,14.83,27.94,6.42,4.98,4.6,0.57,1.08,0.14,28.57142857,0.04,0.1,34.8,65.2,36.6,14.4,13.1,9.7
AA_0697,0,0,0,0,,312300,1946640,27990,9370.5,0,,,,,,0.7,7.74,11.52,9.257,5.342,11.4,8.773,5,4.76,1.65,10.4,10.90909091,0.18,1.47,14,14.7,44.6,9.1,4.3,14.9,17.66,47.55,8.81,1.72,6.95,,,,,,,11.2,25,25.8,4.9,2.9,15.6
AA_0698,0,0,0,0,,,,,,,,,,,,0.2,10.9,27.81,6.729,2.316,15.9,4.033,,,,,,,,21.6,21.2,25.3,9.1,8.7,20.3,14.85,47.5,7.01,3.75,4.43,,,,,,,48.5,32.8,50,11.5,6.2,16.5
AA_0699,0,0,0,0,,473100,2090470,21070,19561.5,0,,,,,,1.3,8.18,11.54,10.848,4.422,21.8,5.703,,,,,,,,21.2,27.2,43.5,12.2,7.3,17,7.52,18.11,1.54,4.69,7.81,,,,,,,100,100,0,8.5,27.3,21.5
AA_0700,0,0,0,0,,,,,,,,,,,,0.5,8.77,21.92,8.371,5.695,25.8,4.826,,,,,,,,27.3,35,41.4,13.9,10.4,20.6,12.29,23.24,7.86,5.84,5.71,,,,,,,30.3,62.3,59.4,15.1,10.5,14
